 1.0000e+00   2.1048e-02 
  1.4000e+00   2.1051e-02 
  1.9600e+00   2.1054e-02 
  2.7440e+00   2.1059e-02 
  3.8416e+00   2.1066e-02 
  5.3782e+00   2.1075e-02 
  7.5295e+00   2.1089e-02 
  1.0541e+01   2.1109e-02 
  1.4758e+01   2.1138e-02 
  2.0661e+01   2.1181e-02 
  2.8925e+01   2.1246e-02 
  4.0496e+01   2.1344e-02 
  5.6694e+01   2.1496e-02 
  7.9371e+01   2.1657e-02 
  1.1112e+02   2.1097e-02 
  1.5557e+02   2.0601e-02 
  2.1780e+02   2.0342e-02 
  3.0491e+02   1.9314e-02 
  4.2688e+02   1.7862e-02 
  5.9763e+02   1.6151e-02 
  8.3668e+02   1.4323e-02 
  1.1714e+03   1.1906e-02 
  1.6399e+03   9.5755e-03 
  2.2959e+03   7.7173e-03 
  3.2142e+03   6.2690e-03 
  4.4999e+03   5.1330e-03 
  6.2998e+03   4.1087e-03 
  8.8198e+03   3.2838e-03 
  1.2348e+04   2.7801e-03 
  1.7287e+04   2.4362e-03 
  2.4201e+04   2.1703e-03 
  3.3882e+04   1.9484e-03 
  4.7435e+04   1.7568e-03 
  6.6409e+04   1.5886e-03 
  9.2972e+04   1.4390e-03 
  1.3016e+05   1.3038e-03 
  1.8223e+05   1.1815e-03 
  2.5512e+05   1.0707e-03 
  3.5716e+05   9.7060e-04 
  5.0003e+05   8.8003e-04 
  7.0004e+05   7.9868e-04 
  9.8005e+05   7.2492e-04 
  1.3721e+06   6.5848e-04 
  1.9209e+06   5.9826e-04 
  2.6893e+06   5.4372e-04 
  3.7650e+06   4.9440e-04 
  5.2710e+06   4.4969e-04 
  7.3793e+06   4.0910e-04 
  1.0331e+07   3.7227e-04 
  1.4464e+07   3.3879e-04 
  2.0249e+07   3.0836e-04 
  2.8348e+07   2.8087e-04 
  3.9688e+07   2.5606e-04 
  5.5563e+07   2.3365e-04 
  7.7788e+07   2.1340e-04 
