#   H  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.746776e+01 3.610000e+01 3.890000e+01 7.132000e-01 5.000000e-04 5.000000e-04 9.300000e-03 9.300000e-03 9.313431e-03 9.313431e-03
4.036565e+01 3.890000e+01 4.190000e+01 5.793000e-01 5.000000e-04 5.000000e-04 7.600000e-03 7.600000e-03 7.616430e-03 7.616430e-03
4.346370e+01 4.190000e+01 4.510000e+01 4.716000e-01 4.000000e-04 4.000000e-04 6.200000e-03 6.200000e-03 6.212890e-03 6.212890e-03
4.676191e+01 4.510000e+01 4.850000e+01 3.839000e-01 4.000000e-04 4.000000e-04 5.100000e-03 5.100000e-03 5.115662e-03 5.115662e-03
5.030807e+01 4.850000e+01 5.220000e+01 3.128000e-01 3.000000e-04 3.000000e-04 4.200000e-03 4.200000e-03 4.210701e-03 4.210701e-03
5.410669e+01 5.220000e+01 5.610000e+01 2.549000e-01 3.000000e-04 3.000000e-04 3.400000e-03 3.400000e-03 3.413210e-03 3.413210e-03
5.815326e+01 5.610000e+01 6.030000e+01 2.080000e-01 2.000000e-04 2.000000e-04 2.800000e-03 2.800000e-03 2.807134e-03 2.807134e-03
6.250008e+01 6.030000e+01 6.480000e+01 1.701000e-01 2.000000e-04 2.000000e-04 2.300000e-03 2.300000e-03 2.308679e-03 2.308679e-03
6.719494e+01 6.480000e+01 6.970000e+01 1.393000e-01 2.000000e-04 2.000000e-04 1.900000e-03 1.900000e-03 1.910497e-03 1.910497e-03
7.224233e+01 6.970000e+01 7.490000e+01 1.132000e-01 2.000000e-04 2.000000e-04 1.500000e-03 1.500000e-03 1.513275e-03 1.513275e-03
7.763776e+01 7.490000e+01 8.050000e+01 9.263000e-02 1.300000e-04 1.300000e-04 1.270000e-03 1.270000e-03 1.276636e-03 1.276636e-03
8.343352e+01 8.050000e+01 8.650000e+01 7.530000e-02 1.200000e-04 1.200000e-04 1.040000e-03 1.040000e-03 1.046900e-03 1.046900e-03
8.967741e+01 8.650000e+01 9.300000e+01 6.146000e-02 1.000000e-04 1.000000e-04 8.500000e-04 8.500000e-04 8.558621e-04 8.558621e-04
9.642170e+01 9.300000e+01 1.000000e+02 5.026000e-02 9.000000e-05 9.000000e-05 7.000000e-04 7.000000e-04 7.057620e-04 7.057620e-04
1.039051e+02 1.000000e+02 1.080000e+02 4.085000e-02 7.000000e-05 7.000000e-05 5.800000e-04 5.800000e-04 5.842089e-04 5.842089e-04
1.119119e+02 1.080000e+02 1.160000e+02 3.294000e-02 7.000000e-05 7.000000e-05 4.700000e-04 4.700000e-04 4.751842e-04 4.751842e-04
1.203963e+02 1.160000e+02 1.250000e+02 2.698000e-02 6.000000e-05 6.000000e-05 3.900000e-04 3.900000e-04 3.945884e-04 3.945884e-04
1.298814e+02 1.250000e+02 1.350000e+02 2.174000e-02 5.000000e-05 5.000000e-05 3.200000e-04 3.200000e-04 3.238827e-04 3.238827e-04
1.408425e+02 1.350000e+02 1.470000e+02 1.727000e-02 4.000000e-05 4.000000e-05 2.600000e-04 2.600000e-04 2.630589e-04 2.630589e-04
1.533302e+02 1.470000e+02 1.600000e+02 1.358000e-02 3.000000e-05 3.000000e-05 2.100000e-04 2.100000e-04 2.121320e-04 2.121320e-04
1.672928e+02 1.600000e+02 1.750000e+02 1.065000e-02 3.000000e-05 3.000000e-05 1.700000e-04 1.700000e-04 1.726268e-04 1.726268e-04
1.832571e+02 1.750000e+02 1.920000e+02 8.212000e-03 2.300000e-05 2.300000e-05 1.330000e-04 1.330000e-04 1.349741e-04 1.349741e-04
2.012237e+02 1.920000e+02 2.110000e+02 6.299000e-03 1.900000e-05 1.900000e-05 1.040000e-04 1.040000e-04 1.057213e-04 1.057213e-04
2.216637e+02 2.110000e+02 2.330000e+02 4.793000e-03 1.500000e-05 1.500000e-05 8.300000e-05 8.300000e-05 8.434453e-05 8.434453e-05
2.455761e+02 2.330000e+02 2.590000e+02 3.605000e-03 1.200000e-05 1.200000e-05 6.500000e-05 6.500000e-05 6.609841e-05 6.609841e-05
2.744256e+02 2.590000e+02 2.910000e+02 2.647000e-03 9.000000e-06 9.000000e-06 4.900000e-05 4.900000e-05 4.981967e-05 4.981967e-05
3.097442e+02 2.910000e+02 3.300000e+02 1.884000e-03 7.000000e-06 7.000000e-06 3.700000e-05 3.700000e-05 3.765634e-05 3.765634e-05
3.534548e+02 3.300000e+02 3.790000e+02 1.288000e-03 5.000000e-06 5.000000e-06 2.700000e-05 2.700000e-05 2.745906e-05 2.745906e-05
4.085529e+02 3.790000e+02 4.410000e+02 8.695000e-04 3.800000e-06 3.800000e-06 1.950000e-05 1.950000e-05 1.986681e-05 1.986681e-05
4.807444e+02 4.410000e+02 5.250000e+02 5.545000e-04 2.600000e-06 2.600000e-06 1.350000e-05 1.350000e-05 1.374809e-05 1.374809e-05
5.803168e+02 5.250000e+02 6.430000e+02 3.357000e-04 1.700000e-06 1.700000e-06 9.200000e-06 9.200000e-06 9.355747e-06 9.355747e-06
7.257363e+02 6.430000e+02 8.220000e+02 1.860000e-04 1.000000e-06 1.000000e-06 6.000000e-06 6.000000e-06 6.082763e-06 6.082763e-06
9.609405e+02 8.220000e+02 1.130000e+03 8.571000e-05 5.300000e-07 5.300000e-07 3.550000e-06 3.550000e-06 3.589345e-06 3.589345e-06
1.417258e+03 1.130000e+03 1.800000e+03 2.933000e-05 2.100000e-07 2.100000e-07 1.730000e-06 1.730000e-06 1.742699e-06 1.742699e-06
