1.00e-03	6.66e+00
1.40e-03	9.31e+00
1.96e-03	1.30e+01
2.74e-03	1.82e+01
3.84e-03	2.54e+01
5.38e-03	3.54e+01
7.53e-03	4.92e+01
1.05e-02	6.83e+01
1.48e-02	9.44e+01
2.07e-02	1.30e+02
2.89e-02	1.78e+02
4.05e-02	2.41e+02
5.67e-02	3.22e+02
7.94e-02	4.24e+02
1.11e-01	5.46e+02
1.56e-01	6.81e+02
2.18e-01	8.10e+02
3.05e-01	9.20e+02
4.27e-01	9.89e+02
5.98e-01	9.75e+02
8.37e-01	8.87e+02
1.17e+00	7.26e+02
1.64e+00	5.40e+02
2.30e+00	3.56e+02
3.21e+00	2.13e+02
4.50e+00	1.17e+02
6.30e+00	5.98e+01
8.82e+00	2.89e+01
1.23e+01	1.30e+01
1.73e+01	5.53e+00
2.42e+01	2.29e+00
3.39e+01	9.33e-01
4.74e+01	3.77e-01
6.64e+01	1.52e-01
9.30e+01	6.11e-02
1.30e+02	2.45e-02
1.82e+02	9.82e-03
2.55e+02	3.93e-03
3.57e+02	1.57e-03
5.00e+02	6.29e-04
7.00e+02	2.51e-04
9.80e+02	1.01e-04
1.37e+03	4.02e-05
1.92e+03	1.61e-05
2.69e+03	6.44e-06
3.77e+03	2.58e-06
5.27e+03	1.03e-06
7.38e+03	4.13e-07
1.03e+04	1.65e-07
1.45e+04	6.61e-08
2.02e+04	2.65e-08
2.83e+04	1.06e-08
3.97e+04	4.24e-09
5.56e+04	1.70e-09
7.78e+04	6.80e-10

